artist,origin_country,genre
Adele ,US,Hip-Hop
 the kid laroi & justin bieber,UK,Pop
 Lil Nas X & Jack Harlow  ,Australia,Country
WALKER HAYES,US,R&B
Ed Sheeran  ,US,Hip-Hop
Drake Featuring Future & Young Thug ,UK,Pop
 ED SHEERAN  ,Canada,Pop
  Olivia Rodrigo  ,Canada,Country
Doja Cat ,UK,R&B
DUA LIPA,US,Rock
 Wizkid Featuring Justin Bieber & Tems ,Canada,Hip-Hop
 Doja Cat Featuring Sza,US,R&B
Glass Animals ,UK,R&B
 Maneskin,Australia,Hip-Hop
Elton John & Dua Lipa,US,Hip-Hop
Doja Cat & The Weeknd,Canada,Rock
 The Weeknd & Ariana Grande  ,Australia,R&B
 JASON ALDEAN & CARRIE UNDERWOOD,US,Hip-Hop
 COLDPLAY X BTS  ,Canada,Country
" Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage ",Canada,Country
 DRAKE FEATURING 21 SAVAGE & PROJECT PAT ,Canada,Country
 the anxiety: willow & tyler cole,Australia,Pop
 Lil Nas X ,UK,Rock
ryan hurd with maren morris,Canada,Rock
 drake featuring lil baby ,UK,Pop
Swedish House Mafia & The Weeknd ,Australia,Hip-Hop
 Bryson Gray Featuring Tyson James & Chandler Crump ,UK,Pop
 lil nas x  ,Canada,Rock
 farruko,US,Hip-Hop
CKAY,US,Rock
 THE WEEKND,UK,R&B
Billie Eilish ,Canada,Country
MONEYBAGG YO ,Canada,Pop
NEIKED X MAE MULLER X POLO G ,Canada,R&B
  jordan davis featuring luke bryan ,Australia,Country
justin bieber ,Australia,Country
 Loza Alexander  ,US,Country
 LUKE COMBS  ,US,Hip-Hop
 Tai Verdes ,Australia,Pop
 chris stapleton,UK,R&B
 silk sonic (bruno mars & anderson .paak)  ,UK,Country
Dustin Lynch Featuring Lauren Alaina Or Mackenzie Porter ,Canada,Country
lee brice,US,R&B
 YOUNG THUG WITH DRAKE & TRAVIS SCOTT,Canada,R&B
 Normani Featuring Cardi B,UK,R&B
Meek Mill Featuring Lil Baby & Lil Durk  ,UK,Pop
 Capella Grey ,UK,Pop
Old Dominion ,Canada,R&B
baby keem & kendrick lamar  ,US,Hip-Hop
 chloe ,US,R&B
 Drake Featuring Travis Scott,UK,R&B
 ZAC BROWN BAND,UK,R&B
 elvie shane ,Canada,Country
kanye west ,Canada,Rock
blxst & tyga featuring ty dolla $ign ,Australia,Rock
"Yung Bleu, Chris Brown & 2 Chainz ",Australia,Hip-Hop
 KENNY CHESNEY ,UK,R&B
  Kane Brown X Blackbear  ,Australia,R&B
JAMESON RODGERS FEATURING LUKE COMBS ,UK,R&B
" lil tjay, fivio foreign & kay flock ",Australia,Rock
 LIL DURK ,UK,Hip-Hop
 Doja Cat,US,Rock
 MORGAN WALLEN  ,US,Hip-Hop
cody johnson  ,UK,Pop
DUA LIPA ,US,Pop
 michael ray ,Canada,Pop
 KANE BROWN ,US,R&B
MONEYBAGG YO FEATURING LIL DURK & EST GEE  ,US,Hip-Hop
  Eslabon Armado Featuring Dannylux,US,Country
GUNNA & FUTURE ,Australia,Country
Ivan Cornejo ,Canada,Pop
AVENTURA X BAD BUNNY ,US,Country
 Jon Pardi ,US,Hip-Hop
 bia featuring nicki minaj  ,Canada,Pop
 SLEEPY HALLOW ,US,Country
 42 DUGG FEATURING FUTURE,UK,Country
Realestk,UK,Rock
 WALE FEATURING J. COLE ,US,Rock
KANYE WEST,Australia,Country
"tainy, bad bunny & julieta venegas",UK,R&B
Jimmie Allen & Brad Paisley ,Australia,Hip-Hop
 GIVEON,US,Country
 Megan Thee Stallion ,US,Country
 lady a ,US,Rock
 Doja Cat ,Canada,Pop
 moneybagg yo,Canada,Pop
Latto ,US,R&B
 KELSEA BALLERINI FEATURING KENNY CHESNEY  ,US,Pop
lisa ,UK,Rock
 DRAKE ,UK,Rock
 Grupo Firme,Australia,R&B
  jonas brothers ,Australia,Country
drake featuring lil durk & giveon ,US,Country
 priscilla block  ,Canada,R&B
 parker mccollum ,US,Country
 DOJA CAT  ,US,Country
 Oliver Tree ,US,Rock
h.e.r. featuring chris brown  ,Australia,R&B
  Youngboy Never Broke Again,UK,Hip-Hop
 ADELE,UK,Pop
THE KID LAROI & JUSTIN BIEBER,Australia,Pop
 Lil Nas X & Jack Harlow,Canada,Rock
  walker hayes ,Canada,Pop
ed sheeran,US,Pop
